name	lat	lng	desc	category	subcategory	image_file	teaser_file	teaser_video_file	in_person_file	teaser_description	in_person_radius	in_person_duration	in_person_file_type	color	icon	_layout
Front Street Community Oven	45.0923787	-64.3631092	"<p></p><p><b>Website:</b> <a href=""https://frontstreetoven.ca/"">https://frontstreetoven.ca/</a></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/frontstreetoven/"">@frontstreetoven</a></p><p><b>Facebook: </b><a href=""https://www.facebook.com/FrontStreetOven/"">Front Street Community Oven in Wolfville</a></p><hr/><p></p><p>The Front Street Community Oven is a popular and unique community gathering space located in the heart of Wolfville. The wood-fired outdoor oven serves as a focal point for various community events and activities. Throughout the year, the Front Street Community Oven hosts numerous events and workshops, including pizza nights, bread-baking sessions, and educational programs focused on traditional baking methods and sustainable living practices. By embracing the values of local sourcing, waste reduction, and energy efficiency, the community oven contributes to greatly climate action efforts and has become a cherished spot for gatherings, celebrations, and fostering a strong sense of community in Wolfville.</p><hr/><p><br/><br/><b>How you can support “the oven”:</b> Drop in to the Community Cookout from 6pm-8pm on Thursdays, volunteer to be a <a href=""https://share.hsforms.com/17Du4IcpzTW2XAGMCWqEd4g4z72i"">Firemaster</a>, become an <a href=""https://frontstreetoven.ca/donate/"">Oven Patron</a>, or sign up for their email list.</p>"	Food	Food	1.png				<p></p>	None	None	None	#9b2815	fiber_manual_record	image
Valley Waste Resource Management	45.0631828	-64.5417633	"<p></p><p><b>Website:</b> <a href=""https://www.vwrm.com/"">https://www.vwrm.com/</a></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/valleywaste/?hl=en"">@valleywaste</a></p><p><b>Facebook: </b><a href=""https://www.facebook.com/valleywaste/"">Valley Waste-Resource Management</a></p><hr/><p></p><p>Valley Waste is part of a network of seven solid waste regions in Nova Scotia, all working collaboratively to advance waste diversion and prevention efforts on a regional scale. This approach allows for greater efficiencies and financial viability when it comes to recycling and composting initiatives.</p><p>With a strong commitment to waste reduction and diversion, Valley Waste provides a range of valuable resources to support residents, students, and businesses in their sustainability endeavors. These resources include classroom presentations, informative educational videos, residential education programs, eye-opening site tours, outreach initiatives for businesses and communities, community clean-up events, and seasonal property education.</p><p>By offering these comprehensive services, Valley Waste aims to empower individuals and organizations to play an active role in reducing waste and embracing more sustainable practices. Through education and community engagement, they strive to make a positive impact on waste management, environmental conservation, and the overall well-being of the region.</p><hr/><p></p><p><b>Did you know?</b> Valley Waste’s administration building was one of the first commercial buildings in Canada to be accredited for both <a href=""https://www.cagbc.org/CAGBC/LEED/CAGBC/Programs/LEED/_LEED.aspx"">LEED Gold</a> and <a href=""http://www.passivehouse.ca/"">Passive House</a> certifications!</p>"	Other	Other	logo-transparent.png				<p></p>	None	None	None	#62ee19	fiber_manual_record	image
EOS Natural Foods	45.0923899	-64.3614565	"<p></p><p><b>Website:</b> <a href=""https://www.eosnaturalfoods.ca/"">https://www.eosnaturalfoods.ca/</a></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/eosnaturalfoods/"">@eosnaturalfoods</a></p><p><b>Facebook: </b><a href=""https://www.facebook.com/EosNaturalFoods/"">Eos Natural Foods</a></p><hr/><p></p><p>For over 50 years, Eos Natural Foods has been a staple of wellness in Wolfville. Established in 1973 as a co-op, Eos provided a welcoming space for locals to connect while filling their pantries with nourishing foods. Embracing a commitment to supporting the community, they prioritize sourcing from local businesses whenever feasible, promoting sustainability and fostering a sense of togetherness among neighbours.</p><p>Eos is devoted to offering ethically derived products, even if they cannot be found locally, ensuring their customers have access to a diverse range of wholesome options. To reduce waste and promote eco-friendliness, many of their products are available in bulk, encouraging a more sustainable approach to shopping.</p><p>Eos is dedicated to making wellness accessible to all, as evidenced by its daily discount for students and seniors. By fostering an inclusive environment and providing quality products, this small but mighty shop continues to be a driving force in promoting health and well-being within the Wolfville community.</p>"	Health & Wellness	Health & Wellness	Eos_Store_Front.jpg				<p></p>	None	None	None	#2981ca	fiber_manual_record	image
Acadia Community Fridge	45.0875592	-64.3662494	"<p></p><p><b>Instagram:</b> <a href=""https://www.instagram.com/acadia_community_fridge/"">@acadia_community_fridge</a></p><hr/><p></p><p>The Acadia Community Fridge serves as a hub that brings students together to enjoy meals, foster connections, acquire new skills, and combat food waste. This space allows the individuals within the community to come together and share food from various sources, including surplus from supermarkets, local food businesses, producers, households, and gardens. It&#x27;s a place where everyone can contribute and benefit, promoting a sense of solidarity and sustainability in the community.</p><p>Community fridges help reduce food waste by providing a space for individuals and businesses to share surplus food that might otherwise be tossed. This is crucial to climate action because when food is wasted, all the resources used in its production, such as water, energy, and land, are also wasted. Community fridges provide an opportunity to engage with the student population and promote discussions about sustainable food systems, climate change, and the importance of reducing waste.</p><p></p>"	Food	Food					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Acadia Community Farm	45.0953334	-64.369093	"<p></p><p><b>Website: </b><a href=""https://farm.acadiau.ca/home.html"">https://farm.acadiau.ca/home.html</a></p><p><b>Instagram: </b><a href=""https://www.instagram.com/acadiacommunityfarm/"">@acadiacommunityfarm</a></p><p><b>Facebook: </b><a href=""https://www.facebook.com/acadiacommunityfarm/"">The Acadia Community Farm</a></p><p></p><hr/><p></p><p>The Acadia Community Farm has been an integral piece of Wolfville since it began in 2008 thanks to the overwhelming support from students and volunteers who actively manage and maintain the farm. Every season, organic produce is grown and harvested for the Acadia dining hall as well as donated to the local food bank.</p><p>As part of its educational mission, the Acadia Farm hosts seasonal workshops facilitated by local experts, covering various topics such as permaculture, organic gardening, and seed saving. These workshops provide valuable knowledge and skill-building opportunities for participants.</p><p>The farm also serves as a practical teaching resource and field research site for various Acadia courses. It plays a significant role in community development, biology, environmental studies, sustainability studies, and other disciplines, providing students with hands-on experience and real-world applications of their learning.</p><p></p>"	Agriculture	Agriculture					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Flying Squirrel Adventures	45.218645	-64.371663	"<p></p><p><b>Website: </b><a href=""https://valleyflyingsquirrel.wordpress.com/"">https://valleyflyingsquirrel.wordpress.com/</a></p><p><b>Instagram: </b><a href=""https://www.instagram.com/flyingsquirreladventures/"">@flyingsquirreladventures</a></p><p><b>Facebook: F</b><a href=""https://www.facebook.com/flyingsquirreladventures/"">lying Squirrel Adventures</a></p><hr/><p></p><p>Flying Squirrel Adventures is dedicated to organizing and leading captivating nature excursions, activities, and event series suitable for people of all age groups in the picturesque Annapolis Valley. Their mission is to foster a profound connection between individuals and the natural world, as well as to build a vibrant community of nature enthusiasts. The symbol of the Flying Squirrel embodies the essence of curiosity and enjoyment found in exploring the wonders of nature!</p><p></p><hr/><p></p><p><b>How you can support FSA:</b></p><p>Subscribe to their <a href=""https://gmail.us3.list-manage.com/subscribe?u=20d4fcb0c723a502ca6a2bf60&amp;id=42b20259b9"">newsletter</a>, register for a <a href=""https://valleyflyingsquirrel.wordpress.com/upcoming-events/"">course</a>, become a <a href=""https://valleyflyingsquirrel.wordpress.com/new-nature-leaders/"">volunteer</a>, or donate to their <a href=""https://www.canadahelps.org/en/charities/blomidon-naturalists-society/campaign/give-the-gift-of-nature-time/"">bursary</a>!</p><p></p>"	Recreation	Recreation					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Ann and William Truemen	45.2186202	-64.4458167	<p>Ann and William Truemen, who have owned their property since 1992, made a significant commitment to climate action by refraining from logging on their land since 1997. Over the years, their opposition to logging has grown, and they now recognize the greater value of preserving their bountiful backyard over the short-lived financial gains often associated with selling portions of their lot. Their decision to refrain from logging their property and prioritize its preservation over short-term financial gains is crucial to climate action. It embodies principles of carbon sequestration, biodiversity conservation, sustainability, local climate regulation, and the potential to inspire others to make environmentally responsible choices.</p>	Other	Other	DJI_0039.JPG				<p></p>	None	None	None	#122e44	fiber_manual_record	image
Wolfville Farmers' Market	45.092614	-64.3640135	"<p>The Wolfville Farmer&#x27;s Market is a bustling hub of community members gathering to celebrate local artisan vendors (many of which can be found on this map!) . Founded in 1992, the market runs year-round on Saturday mornings from 8:30am to 1:00pm.</p><p></p><hr/><p></p><p>To learn more about the Wolfville Farmers&#x27; Market, visit their website and social media pages!</p><p><a href=""https://www.wolfvillefarmersmarket.ca/"">Website</a></p><p><a href=""https://www.facebook.com/wolfvillefarmersmarket/"">Facebook</a></p><p><a href=""https://www.instagram.com/wolfvillefarmersmarket/?hl=en"">Instagram</a></p>"	Other	Other	WFM.jpeg				<p></p>	None	None	None	#2981ca	fiber_manual_record	image
Berwick	45.0449507207986	-64.7285724832866	<p></p>	Renewable Energy	Renewable Energy	IMG_1847_98mUIRy.jpeg				<p></p>	None	None	None	#2981ca	fiber_manual_record	image
Tap Root Farm	45.1329515494546	-64.4078636169434	<p></p>	Agriculture	Agriculture					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Oulton’s Farm	45.1386759072427	-64.4120074135224	<p></p>	Agriculture	Agriculture					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Marcus. Rope recycling	45.1441442463731	-64.4066326341561	<p></p>	Waste Reduction	Waste Reduction					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Ross Creek Centre for the Arts	45.2140191246446	-64.4512205159736	<p></p>	Other	Other					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Longspell Farm	45.1628556361824	-64.3619441986084	<p></p>	Agriculture	Agriculture					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Blomidon Naturalists Society	45.0923753351826	-64.3630665166107	"<p>The Blomidon Naturalists Society (BNS) exists to encourage and develop understanding, appreciation, and stewardship of nature in its members and the interested public. We are an active field naturalists group &amp; local hub for environmental conservation, nature programs, climate action, &amp; community projects.</p><p>Learn more about the BNS:</p><p>Website: <a href=""https://blomidonnaturalists.ca/"">https://blomidonnaturalists.ca</a></p><p></p>"	Community Engagement	Community Engagement	IMG_3799.jpeg				<p></p>	None	None	None	#2981ca	fiber_manual_record	image
Elisabeth Kosters - gets around by bicycle	45.0930409089177	-64.3468448752275	<p></p>	Transportation	Transportation					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
Suprema Farm. Organic Apples	45.1415758983952	-64.4806575668597	<p></p>	Agriculture	Agriculture					<p></p>	None	None	None	#2981ca	fiber_manual_record	text
